accession	date	host
GQ153543		Bat
GQ153542		Bat
GQ153544		Bat
GQ153545		Bat
GQ153546		Bat
GQ153548		Bat
GQ153540		Bat
GQ153541		Bat
GQ153539		Bat
DQ084199		Bat
DQ084200		Bat
GQ153547		Bat
DQ648857		Bat
DQ648856		Bat
FJ882953		Mouse
FJ882952		Mouse
FJ882958		Mouse
FJ882948		Mouse
FJ882961		Mouse
FJ882945		Mouse
FJ882957		Mouse
FJ882942		Mouse    
FJ882951		Mouse
FJ882962		Mouse
FJ882959		Mouse
FJ882943		Mouse
AY461660	2003-03-XX
AY559083	2003-XX-XX
AY278490	2003-XX-XX
FJ959407	2004-XX-XX
AY283795	2003-XX-XX
AY283794	2003-XX-XX
AY283797	2003-XX-XX
AY283796	2003-XX-XX
AY283798	2003-XX-XX
