Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
Amsterdam 057	Human coronavirus NL63	DQ445911	27550	-N/A-	Unknown	-N/A-	Netherlands	genomic RNA	
Amsterdam 496	Human coronavirus NL63	DQ445912	27535	-N/A-	Unknown	-N/A-	Netherlands	genomic RNA	
Amsterdam I	Human coronavirus NL63	AY567487	27553	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Amsterdam I	Human coronavirus NL63	NC_005831*	27553	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
CBJ 037	Human coronavirus NL63	JX104161	27538	11/04/2008	Human	Homo sapiens	China	genomic RNA	
CBJ123	Human coronavirus NL63	JX524171	27538	01/24/2009	Human	Homo sapiens	China	genomic RNA	
ChinaGD01	Human coronavirus NL63	MK334046	27531	09/01/2018	Human	Homo sapiens	China	genomic RNA	
ChinaGD02	Human coronavirus NL63	MK334043	27516	08/15/2018	Human	Homo sapiens	China	genomic RNA	
ChinaGD03	Human coronavirus NL63	MK334044	27516	07/13/2018	Human	Homo sapiens	China	genomic RNA	
ChinaGD04	Human coronavirus NL63	MK334047	27532	07/25/2018	Human	Homo sapiens	China	genomic RNA	
ChinaGD05	Human coronavirus NL63	MK334045	27544	08/14/2018	Human	Homo sapiens	China	genomic RNA	
CN0601/14	Human coronavirus NL63	MG772808	27535	11/25/2014	Human	Homo sapiens	South Korea	genomic RNA	
HCoV NL63/Haiti-1/2015	Human coronavirus NL63	KT266906	27553	01/16/2015	Human	Homo sapiens	Haiti	genomic RNA	
Kilifi_HH_0511_01-Jun-2010	Human coronavirus NL63	MG428703	27685	06/01/2010	Human	Homo sapiens	Kenya	genomic RNA	
Kilifi_HH_0512_04-Jun-2010	Human coronavirus NL63	MG428701	27623	06/04/2010	Human	Homo sapiens	Kenya	genomic RNA	
Kilifi_HH_0522_21-May-2010	Human coronavirus NL63	MG428705	27587	05/21/2010	Human	Homo sapiens	Kenya	genomic RNA	
