orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain	url	authors	title	date_added
Cp/Yunnan2011	-N/A-		JX993988	29452	2011-XX-XX			Bat	Chaerephon plicata	China	china	genomic RNA	Cp/Yunnan2011__JX993988	https://www.ncbi.nlm.nih.gov/nuccore/JX993988	Yang,L., Wu,Z., Ren,X., Yang,F., He,G., Zhang,J., Dong,J., Sun,L., Zhu,Y., Du,J., Zhang,S. and Jin,Q.	Novel SARS-like Betacoronaviruses in Bats, China, 2011	2020-01-27
Rp/Shaanxi2011	-N/A-		JX993987	29484	2011-09-XX			Bat	Rhinolophus pusillus	China	china	genomic RNA	Rp/Shaanxi2011__JX993987	https://www.ncbi.nlm.nih.gov/nuccore/JX993987	Yang,L., Wu,Z., Ren,X., Yang,F., He,G., Zhang,J., Dong,J., Sun,L., Zhu,Y., Du,J., Zhang,S. and Jin,Q.	Novel SARS-like Betacoronaviruses in Bats, China, 2011	2020-01-27
BtRf-HeB2013	-N/A-		KJ473812	29443	2013-XX-XX			Bat	Rhinolophus ferrumequinum	China	china	genomic RNA	BtRf-HeB2013__KJ473812	https://www.ncbi.nlm.nih.gov/nuccore/KJ473812	Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S. and Jin,Q.	ORF8-Related Genetic Evidence for Chinese Horseshoe Bats as the Source of Human Severe Acute Respiratory Syndrome Coronavirus	2020-01-27
BtRf-JL2012	-N/A-		KJ473811	29037	2012-XX-XX			Bat	Rhinolophus ferrumequinum	China	china	genomic RNA	BtRf-JL2012__KJ473811	https://www.ncbi.nlm.nih.gov/nuccore/KJ473811	Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S. and Jin,Q.	ORF8-Related Genetic Evidence for Chinese Horseshoe Bats as the Source of Human Severe Acute Respiratory Syndrome Coronavirus	2020-01-27
BtRf-SX2013	-N/A-		KJ473813	29461	2013-XX-XX			Bat	Rhinolophus ferrumequinum	China	china	genomic RNA	BtRf-SX2013__KJ473813	https://www.ncbi.nlm.nih.gov/nuccore/KJ473813	Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S. and Jin,Q.	ORF8-Related Genetic Evidence for Chinese Horseshoe Bats as the Source of Human Severe Acute Respiratory Syndrome Coronavirus	2020-01-27
BtRs-GX2013	-N/A-		KJ473815	29161	2013-XX-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	BtRs-GX2013__KJ473815	https://www.ncbi.nlm.nih.gov/nuccore/KJ473815	Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S. and Jin,Q.	ORF8-Related Genetic Evidence for Chinese Horseshoe Bats as the Source of Human Severe Acute Respiratory Syndrome Coronavirus	2020-01-27
BtRs-HuB2013	-N/A-		KJ473814	29658	2013-XX-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	BtRs-HuB2013__KJ473814	https://www.ncbi.nlm.nih.gov/nuccore/KJ473814	Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S. and Jin,Q.	ORF8-Related Genetic Evidence for Chinese Horseshoe Bats as the Source of Human Severe Acute Respiratory Syndrome Coronavirus	2020-01-27
BtRs-YN2013	-N/A-		KJ473816	29142	2013-XX-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	BtRs-YN2013__KJ473816	https://www.ncbi.nlm.nih.gov/nuccore/KJ473816	Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S. and Jin,Q.	ORF8-Related Genetic Evidence for Chinese Horseshoe Bats as the Source of Human Severe Acute Respiratory Syndrome Coronavirus	2020-01-27
F46	-N/A-		KU973692	29722	2012-XX-XX			Bat	bat	China	china	genomic RNA	F46__KU973692	https://www.ncbi.nlm.nih.gov/nuccore/KU973692	Wang,L. and Liang,G.	Identification of a new intermediate virus between bat-CoVs and SARS-CoVs from least horseshoe bats in China	2020-01-27
HKU3-1	Severe acute respiratory syndrome-related coronavirus		DQ022305	29728	20XX-XX-XX			Bat		China	china	genomic RNA	HKU3-1__DQ022305	https://www.ncbi.nlm.nih.gov/nuccore/DQ022305	Lau,S.K., Woo,P.C., Li,K.S., Huang,Y., Tsoi,H.W., Wong,B.H., Wong,S.S., Leung,S.Y., Chan,K.H. and Yuen,K.Y.	Severe acute respiratory syndrome coronavirus-like virus in Chinese horseshoe bats	2020-01-27
HKU3-10	Severe acute respiratory syndrome-related coronavirus		GQ153545	29695	20XX-XX-XX							genomic RNA	HKU3-10__GQ153545	https://www.ncbi.nlm.nih.gov/nuccore/GQ153545	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
HKU3-11	Severe acute respiratory syndrome-related coronavirus		GQ153546	29695	20XX-XX-XX							genomic RNA	HKU3-11__GQ153546	https://www.ncbi.nlm.nih.gov/nuccore/GQ153546	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
HKU3-12	Severe acute respiratory syndrome-related coronavirus		GQ153547	29704	20XX-XX-XX							genomic RNA	HKU3-12__GQ153547	https://www.ncbi.nlm.nih.gov/nuccore/GQ153547	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
HKU3-13	Severe acute respiratory syndrome-related coronavirus		GQ153548	29677	20XX-XX-XX							genomic RNA	HKU3-13__GQ153548	https://www.ncbi.nlm.nih.gov/nuccore/GQ153548	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
HKU3-2	Severe acute respiratory syndrome-related coronavirus		DQ084199	29687	20XX-XX-XX							genomic RNA	HKU3-2__DQ084199	https://www.ncbi.nlm.nih.gov/nuccore/DQ084199	Lau,S.K., Woo,P.C., Li,K.S., Huang,Y., Tsoi,H.W., Wong,B.H., Wong,S.S., Leung,S.Y., Chan,K.H. and Yuen,K.Y.	Severe acute respiratory syndrome coronavirus-like virus in Chinese horseshoe bats	2020-01-27
HKU3-3	Severe acute respiratory syndrome-related coronavirus		DQ084200	29711	20XX-XX-XX							genomic RNA	HKU3-3__DQ084200	https://www.ncbi.nlm.nih.gov/nuccore/DQ084200	Lau,S.K., Woo,P.C., Li,K.S., Huang,Y., Tsoi,H.W., Wong,B.H., Wong,S.S., Leung,S.Y., Chan,K.H. and Yuen,K.Y.	Severe acute respiratory syndrome coronavirus-like virus in Chinese horseshoe bats	2020-01-27
HKU3-4	Severe acute respiratory syndrome-related coronavirus		GQ153539	29704	20XX-XX-XX							genomic RNA	HKU3-4__GQ153539	https://www.ncbi.nlm.nih.gov/nuccore/GQ153539	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
HKU3-5	Severe acute respiratory syndrome-related coronavirus		GQ153540	29704	20XX-XX-XX							genomic RNA	HKU3-5__GQ153540	https://www.ncbi.nlm.nih.gov/nuccore/GQ153540	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
HKU3-6	Severe acute respiratory syndrome-related coronavirus		GQ153541	29704	20XX-XX-XX							genomic RNA	HKU3-6__GQ153541	https://www.ncbi.nlm.nih.gov/nuccore/GQ153541	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
HKU3-7	Severe acute respiratory syndrome-related coronavirus		GQ153542	29716	20XX-XX-XX							genomic RNA	HKU3-7__GQ153542	https://www.ncbi.nlm.nih.gov/nuccore/GQ153542	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
HKU3-8	Severe acute respiratory syndrome-related coronavirus		GQ153543	29681	20XX-XX-XX							genomic RNA	HKU3-8__GQ153543	https://www.ncbi.nlm.nih.gov/nuccore/GQ153543	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
HKU3-9	Severe acute respiratory syndrome-related coronavirus		GQ153544	29695	20XX-XX-XX							genomic RNA	HKU3-9__GQ153544	https://www.ncbi.nlm.nih.gov/nuccore/GQ153544	Lau,S.K., Li,K.S., Huang,Y., Shek,C.T., Tse,H., Wang,M., Choi,G.K., Xu,H., Lam,C.S., Guo,R., Chan,K.H., Zheng,B.J., Woo,P.C. and Yuen,K.Y.	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	2020-01-27
BtCoV/273/2005	Severe acute respiratory syndrome-related coronavirus		DQ648856	29704	20XX-XX-XX							genomic RNA	BtCoV/273/2005__DQ648856	https://www.ncbi.nlm.nih.gov/nuccore/DQ648856	Tang,X.C., Zhang,J.X., Zhang,S.Y., Wang,P., Fan,X.H., Li,L.F., Li,G., Dong,B.Q., Liu,W., Cheung,C.L., Xu,K.M., Song,W.J., Vijaykrishna,D., Poon,L.L., Peiris,J.S., Smith,G.J., Chen,H. and Guan,Y.	Prevalence and genetic diversity of coronaviruses in bats from China	2020-01-27
Rf1	Severe acute respiratory syndrome-related coronavirus		DQ412042	29709	20XX-XX-XX			Bat	Rhinolophus ferrumequinum			genomic RNA	Rf1__DQ412042	https://www.ncbi.nlm.nih.gov/nuccore/DQ412042	Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S. and Wang,L.F.	Bats are natural reservoirs of SARS-like coronaviruses	2020-01-27
BtCoV/279/2005	Severe acute respiratory syndrome-related coronavirus		DQ648857	29741	20XX-XX-XX							genomic RNA	BtCoV/279/2005__DQ648857	https://www.ncbi.nlm.nih.gov/nuccore/DQ648857	Tang,X.C., Zhang,J.X., Zhang,S.Y., Wang,P., Fan,X.H., Li,L.F., Li,G., Dong,B.Q., Liu,W., Cheung,C.L., Xu,K.M., Song,W.J., Vijaykrishna,D., Poon,L.L., Peiris,J.S., Smith,G.J., Chen,H. and Guan,Y.	Prevalence and genetic diversity of coronaviruses in bats from China	2020-01-27
Rm1	Severe acute respiratory syndrome-related coronavirus		DQ412043	29749	20XX-XX-XX			Bat	Rhinolophus macrotis			genomic RNA	Rm1__DQ412043	https://www.ncbi.nlm.nih.gov/nuccore/DQ412043	Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S. and Wang,L.F.	Bats are natural reservoirs of SARS-like coronaviruses	2020-01-27
Rp3	Severe acute respiratory syndrome-related coronavirus		DQ071615	29736	20XX-XX-XX			Bat	bat	China	china	genomic RNA	Rp3__DQ071615	https://www.ncbi.nlm.nih.gov/nuccore/DQ071615	Li,W., Shi,Z., Yu,M., Ren,W., Smith,C., Epstein,J.H., Wang,H., Crameri,G., Hu,Z., Zhang,H., Zhang,J., McEachern,J., Field,H., Daszak,P., Eaton,B.T., Zhang,S. and Wang,L.F.	Bats are natural reservoirs of SARS-like coronaviruses	2020-01-27
civet007	Severe acute respiratory syndrome-related coronavirus		AY572034	29540	2004-XX-XX			Civet	civet	China	china	genomic RNA	civet007__AY572034	https://www.ncbi.nlm.nih.gov/nuccore/AY572034	Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y. and Xu,J.	SARS-CoV infection in a restaurant from palm civet	2020-01-27
SZ16	Severe acute respiratory syndrome-related coronavirus		AY304488	29731	2003-XX-XX			Civet		Hong_Kong	china	genomic RNA	SZ16__AY304488	https://www.ncbi.nlm.nih.gov/nuccore/AY304488	Guan,Y., Zheng,B.J., He,Y.Q., Liu,X.L., Zhuang,Z.X., Cheung,C.L., Luo,S.W., Li,P.H., Zhang,L.J., Guan,Y.J., Butt,K.M., Wong,K.L., Chan,K.W., Lim,W., Shortridge,K.F., Yuen,K.Y., Peiris,J.S. and Poon,L.L.	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	2020-01-27
SZ3	Severe acute respiratory syndrome-related coronavirus		AY304486	29741	2003-XX-XX			Civet		Hong_Kong	china	genomic RNA	SZ3__AY304486	https://www.ncbi.nlm.nih.gov/nuccore/AY304486	Guan,Y., Zheng,B.J., He,Y.Q., Liu,X.L., Zhuang,Z.X., Cheung,C.L., Luo,S.W., Li,P.H., Zhang,L.J., Guan,Y.J., Butt,K.M., Wong,K.L., Chan,K.W., Lim,W., Shortridge,K.F., Yuen,K.Y., Peiris,J.S. and Poon,L.L.	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	2020-01-27
CFB/SZ/94/03	Severe acute respiratory syndrome-related coronavirus		AY545919	29739	2003-XX-XX			Badger		China	china	genomic RNA	CFB/SZ/94/03__AY545919	https://www.ncbi.nlm.nih.gov/nuccore/AY545919	Guan,Y.	An Averted SARS Outbreak?	2020-01-27
CV7	Severe acute respiratory syndrome-related coronavirus		DQ898174	29751	20XX-XX-XX					Canada	north_america	genomic RNA	CV7__DQ898174	https://www.ncbi.nlm.nih.gov/nuccore/DQ898174	Tylor,S., Andonov,A., Cutts,T., Cao,J., Grudesky,E., Van Domselaar,G., Li,X. and He,R.	The SR-rich motif in SARS-CoV nucleocapsid protein is important for virus replication	2020-01-27
