orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain	url	authors	title	date_added
Amsterdam 057	Human coronavirus NL63		DQ445911	27550	20XX-XX-XX					Netherlands	europe	genomic RNA	Amsterdam057__DQ445911	https://www.ncbi.nlm.nih.gov/nuccore/DQ445911	Pyrc,K., Dijkman,R., Deng,L., Jebbink,M.F., Ross,H.A., Berkhout,B. and van der Hoek,L.	Mosaic structure of human coronavirus NL63, one thousand years of evolution	2020-01-27
Amsterdam 496	Human coronavirus NL63		DQ445912	27535	20XX-XX-XX					Netherlands	europe	genomic RNA	Amsterdam496__DQ445912	https://www.ncbi.nlm.nih.gov/nuccore/DQ445912	Pyrc,K., Dijkman,R., Deng,L., Jebbink,M.F., Ross,H.A., Berkhout,B. and van der Hoek,L.	Mosaic structure of human coronavirus NL63, one thousand years of evolution	2020-01-27
Amsterdam I	Human coronavirus NL63		AY567487	27553	20XX-XX-XX							genomic RNA	AmsterdamI__AY567487	https://www.ncbi.nlm.nih.gov/nuccore/AY567487	van der Hoek,L., Pyrc,K., Jebbink,M.F., Vermeulen-Oost,W., Berkhout,R.J., Wolthers,K.C., Wertheim-van Dillen,P.M., Kaandorp,J., Spaargaren,J. and Berkhout,B.	Identification of a new human coronavirus	2020-01-27
CBJ 037	Human coronavirus NL63		JX104161	27538	2008-11-04			Human	Homo sapiens	China	china	genomic RNA	CBJ037__JX104161	https://www.ncbi.nlm.nih.gov/nuccore/JX104161	Geng,H., Cui,L., Xie,Z., Lu,R., Zhao,L. and Tan,W.	Characterization and Complete Genome Sequence of Human Coronavirus NL63 Isolated in China	2020-01-27
CBJ123	Human coronavirus NL63		JX524171	27538	2009-01-24			Human	Homo sapiens	China	china	genomic RNA	CBJ123__JX524171	https://www.ncbi.nlm.nih.gov/nuccore/JX524171	Geng,H., Cui,L., Xie,Z., Lu,R., Zhao,L. and Tan,W.	Direct Submission	2020-01-27
ChinaGD01	Human coronavirus NL63		MK334046	27531	2018-09-01			Human	Homo sapiens	China	china	genomic RNA	ChinaGD01__MK334046	https://www.ncbi.nlm.nih.gov/nuccore/MK334046	Wang,Y., Li,X., Liu,W., Gan,M., Zhang,L., Zhou,R. and Zhao,J.	Whole-genome sequencing identified severe respiratory illness outbreak associated with a novel genetic recombinant human coronavirus NL63 in China	2020-01-27
ChinaGD02	Human coronavirus NL63		MK334043	27516	2018-08-15			Human	Homo sapiens	China	china	genomic RNA	ChinaGD02__MK334043	https://www.ncbi.nlm.nih.gov/nuccore/MK334043	Wang,Y., Li,X., Liu,W., Gan,M., Zhang,L., Zhou,R. and Zhao,J.	Whole-genome sequencing identified severe respiratory illness outbreak associated with a novel genetic recombinant human coronavirus NL63 in China	2020-01-27
ChinaGD03	Human coronavirus NL63		MK334044	27516	2018-07-13			Human	Homo sapiens	China	china	genomic RNA	ChinaGD03__MK334044	https://www.ncbi.nlm.nih.gov/nuccore/MK334044	Wang,Y., Li,X., Liu,W., Gan,M., Zhang,L., Zhou,R. and Zhao,J.	Whole-genome sequencing identified severe respiratory illness outbreak associated with a novel genetic recombinant human coronavirus NL63 in China	2020-01-27
ChinaGD04	Human coronavirus NL63		MK334047	27532	2018-07-25			Human	Homo sapiens	China	china	genomic RNA	ChinaGD04__MK334047	https://www.ncbi.nlm.nih.gov/nuccore/MK334047	Wang,Y., Li,X., Liu,W., Gan,M., Zhang,L., Zhou,R. and Zhao,J.	Whole-genome sequencing identified severe respiratory illness outbreak associated with a novel genetic recombinant human coronavirus NL63 in China	2020-01-27
ChinaGD05	Human coronavirus NL63		MK334045	27544	2018-08-14			Human	Homo sapiens	China	china	genomic RNA	ChinaGD05__MK334045	https://www.ncbi.nlm.nih.gov/nuccore/MK334045	Wang,Y., Li,X., Liu,W., Gan,M., Zhang,L., Zhou,R. and Zhao,J.	Whole-genome sequencing identified severe respiratory illness outbreak associated with a novel genetic recombinant human coronavirus NL63 in China	2020-01-27
CN0601/14	Human coronavirus NL63		MG772808	27535	2014-11-25			Human	Homo sapiens	South_Korea	japan_korea	genomic RNA	CN0601/14__MG772808	https://www.ncbi.nlm.nih.gov/nuccore/MG772808	Kim,J.-M., Kim,S.-T., Yang,J.-S., Kim,S.S. and Cheong,H.-M.	The complete genome sequence of human coronavirus NL63 CN/0601/14 strain, first isolated from South Korea	2020-01-27
