orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain
Cp/Yunnan2011	-N/A-		JX993988	29452	2011-XX-XX			Bat	Chaerephon plicata	China	china	genomic RNA	Cp/Yunnan2011__JX993988
Rp/Shaanxi2011	-N/A-		JX993987	29484	2011-09-XX			Bat	Rhinolophus pusillus	China	china	genomic RNA	Rp/Shaanxi2011__JX993987
BtRf-HeB2013	-N/A-		KJ473812	29443	2013-XX-XX			Bat	Rhinolophus ferrumequinum	China	china	genomic RNA	BtRf-HeB2013__KJ473812
BtRf-JL2012	-N/A-		KJ473811	29037	2012-XX-XX			Bat	Rhinolophus ferrumequinum	China	china	genomic RNA	BtRf-JL2012__KJ473811
BtRf-SX2013	-N/A-		KJ473813	29461	2013-XX-XX			Bat	Rhinolophus ferrumequinum	China	china	genomic RNA	BtRf-SX2013__KJ473813
BtRs-GX2013	-N/A-		KJ473815	29161	2013-XX-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	BtRs-GX2013__KJ473815
BtRs-HuB2013	-N/A-		KJ473814	29658	2013-XX-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	BtRs-HuB2013__KJ473814
BtRs-YN2013	-N/A-		KJ473816	29142	2013-XX-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	BtRs-YN2013__KJ473816
F46	-N/A-		KU973692	29722	2012-XX-XX			Bat	bat	China	china	genomic RNA	F46__KU973692
HKU3-1	Severe acute respiratory syndrome-related coronavirus		DQ022305	29728	20XX-XX-XX			Bat	NA	China	china	genomic RNA	HKU3-1__DQ022305
HKU3-10	Severe acute respiratory syndrome-related coronavirus		GQ153545	29695	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-10__GQ153545
HKU3-11	Severe acute respiratory syndrome-related coronavirus		GQ153546	29695	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-11__GQ153546
HKU3-12	Severe acute respiratory syndrome-related coronavirus		GQ153547	29704	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-12__GQ153547
HKU3-13	Severe acute respiratory syndrome-related coronavirus		GQ153548	29677	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-13__GQ153548
HKU3-2	Severe acute respiratory syndrome-related coronavirus		DQ084199	29687	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-2__DQ084199
HKU3-3	Severe acute respiratory syndrome-related coronavirus		DQ084200	29711	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-3__DQ084200
HKU3-4	Severe acute respiratory syndrome-related coronavirus		GQ153539	29704	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-4__GQ153539
HKU3-5	Severe acute respiratory syndrome-related coronavirus		GQ153540	29704	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-5__GQ153540
HKU3-6	Severe acute respiratory syndrome-related coronavirus		GQ153541	29704	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-6__GQ153541
HKU3-7	Severe acute respiratory syndrome-related coronavirus		GQ153542	29716	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-7__GQ153542
HKU3-8	Severe acute respiratory syndrome-related coronavirus		GQ153543	29681	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-8__GQ153543
HKU3-9	Severe acute respiratory syndrome-related coronavirus		GQ153544	29695	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	HKU3-9__GQ153544
BtCoV/273/2005	Severe acute respiratory syndrome-related coronavirus		DQ648856	29704	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	BtCoV/273/2005__DQ648856
Rf1	Severe acute respiratory syndrome-related coronavirus		DQ412042	29709	20XX-XX-XX			Bat	Rhinolophus ferrumequinum	NA	NA	genomic RNA	Rf1__DQ412042
BtCoV/279/2005	Severe acute respiratory syndrome-related coronavirus		DQ648857	29741	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	BtCoV/279/2005__DQ648857
Rm1	Severe acute respiratory syndrome-related coronavirus		DQ412043	29749	20XX-XX-XX			Bat	Rhinolophus macrotis	NA	NA	genomic RNA	Rm1__DQ412043
Rp3	Severe acute respiratory syndrome-related coronavirus		DQ071615	29736	20XX-XX-XX			Bat	bat	China	china	genomic RNA	Rp3__DQ071615
civet007	Severe acute respiratory syndrome-related coronavirus		AY572034	29540	2004-XX-XX			Civet	civet	China	china	genomic RNA	civet007__AY572034
SZ16	Severe acute respiratory syndrome-related coronavirus		AY304488	29731	2003-XX-XX			Civet	NA	Hong_Kong	china	genomic RNA	SZ16__AY304488
SZ3	Severe acute respiratory syndrome-related coronavirus		AY304486	29741	2003-XX-XX			Civet	NA	Hong_Kong	china	genomic RNA	SZ3__AY304486
CFB/SZ/94/03	Severe acute respiratory syndrome-related coronavirus		AY545919	29739	2003-XX-XX			Badger	NA	China	china	genomic RNA	CFB/SZ/94/03__AY545919
CV7	Severe acute respiratory syndrome-related coronavirus		DQ898174	29751	20XX-XX-XX			NA	NA	Canada	north_america	genomic RNA	CV7__DQ898174
HC/GZ/32/03	Severe acute respiratory syndrome-related coronavirus		AY545918	29737	2003-XX-XX			Civet	NA	China	china	genomic RNA	HC/GZ/32/03__AY545918
HC/GZ/81/03	Severe acute respiratory syndrome-related coronavirus		AY545917	29739	2003-XX-XX			Civet	NA	China	china	genomic RNA	HC/GZ/81/03__AY545917
HC/SZ/266/03	Severe acute respiratory syndrome-related coronavirus		AY545916	29721	2003-XX-XX			Civet	NA	China	china	genomic RNA	HC/SZ/266/03__AY545916
HC/SZ/79/03	Severe acute respiratory syndrome-related coronavirus		AY545914	29723	2003-XX-XX			Civet	NA	China	china	genomic RNA	HC/SZ/79/03__AY545914
HC/SZ/DM1/03	Severe acute respiratory syndrome-related coronavirus		AY545915	29714	2003-XX-XX			Civet	NA	China	china	genomic RNA	HC/SZ/DM1/03__AY545915
