Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
Buffalo coronavirus B1-24F	Betacoronavirus 1	KU558922	31039	10/01/2014	Buffalo	Bubalus bubalis	Bangladesh	genomic RNA	
Buffalo coronavirus B1-28F	Betacoronavirus 1	KU558923	30985	10/01/2014	Buffalo	Bubalus bubalis	Bangladesh	genomic RNA	
4-17-03	Betacoronavirus 1	MH043952	31019	04/2017	Cattle	Bos taurus	USA	genomic RNA	
4-17-08	Betacoronavirus 1	MH043954	31016	04/2017	Cattle	Bos taurus	USA	genomic RNA	
4-17-25	Betacoronavirus 1	MH043953	31032	04/2017	Cattle	Bos taurus	USA	genomic RNA	
7-16-23	Betacoronavirus 1	MH043955	31032	07/2016	Cattle	Bos taurus	USA	genomic RNA	
BCoV-ENT	Betacoronavirus 1	NC_003045*	31028	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
BCoV_2014_13	Betacoronavirus 1	KX982264	30847	03/04/2014	Cattle	Bos taurus	France	genomic RNA	
BCV-AKS-01	Betacoronavirus 1	KU886219	30975	05/30/2015	Cattle	Bos taurus; breed: Holstein	China	genomic RNA	
ICSA-pool-EN	Betacoronavirus 1	MG757141	31019	2014	Cattle	cattle	France	genomic RNA	
ICSA-pool-LBA	Betacoronavirus 1	MG757142	30939	2014	Cattle	cattle	France	genomic RNA	
ICSA16-EN	Betacoronavirus 1	MG757139	31028	2014	Cattle	cattle	France	genomic RNA	
ICSA16-LBA	Betacoronavirus 1	MG757140	31024	2014	Cattle	cattle	France	genomic RNA	
ICSA21-LBA	Betacoronavirus 1	MG757138	31026	2014	Cattle	cattle	France	genomic RNA	
UNKNOWN-LQ289146	Betacoronavirus 1	LQ289146	31022	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
DB2	Betacoronavirus 1	DQ811784	31007	1983	Cattle	bovine	-N/A-	genomic RNA	
E-AH187	Betacoronavirus 1	EF424619	30995	-N/A-	Cattle	bovine	USA	genomic RNA	
