Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
BtCoV/AT1A-F1/Hip_aba/GHA/2010	Human coronavirus 229E	KT253272	28688	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/FO1A-F2/Hip_aba/GHA/2010	Human coronavirus 229E	KT253270	28020	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/KW2E-F151/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253269	28026	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/KW2E-F56/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253271	28754	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtKY229E-1	Human coronavirus 229E	KY073747	27837	06/20/2009	Bat	Hipposideros sp.	Kenya	genomic RNA	
BtKY229E-8	Human coronavirus 229E	KY073748	27636	06/2010	Bat	Hipposideros vittatus	Kenya	genomic RNA	
CA08-1/2008	Human coronavirus 229E	JQ410000	27374	2008	Camel	Vicugna pacos	USA	genomic RNA	
camel/Abu Dhabi/B38	Human coronavirus 229E	MF593473	27389	2015	Camel	camel	United Arab Emirates	genomic RNA	
camel/Riyadh/Ry141/2015	Human coronavirus 229E	NC_028752*	27395	03/2015	Camel	camel	Saudi Arabia	genomic RNA	
Camel229E-CoV/AC04/KSA/2014	Human coronavirus 229E	KT253327	27241	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/JC49/KSA/2014	Human coronavirus 229E	KT253325	27193	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/JC50/KSA/2014	Human coronavirus 229E	KT253324	27395	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/JC50_HUH7/KSA/2014	Human coronavirus 229E	KT253328	27270	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/JC52/KSA/2014	Human coronavirus 229E	KT253326	27193	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/KCSP1/KEN/2015	Human coronavirus 229E	KU291449	27164	2015	Camel	Camelus dromedarius	Kenya	genomic RNA	
0349	Human coronavirus 229E	JX503060	27263	2010	Human	Homo sapiens	Netherlands	genomic RNA	
229E	Human coronavirus 229E	AF304460	27317	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E	Human coronavirus 229E	NC_002645*	27317	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E/Haiti-1/2016	Human coronavirus 229E	MF542265	27271	03/2016	Human	Homo sapiens	Haiti	genomic RNA	
229E/human/USA/932-72/1993	Human coronavirus 229E	KF514432	27138	02/22/1993	Human	Homo sapiens; sex: F; age: 8Y	USA	genomic RNA	
229E/human/USA/933-40/1993	Human coronavirus 229E	KF514433	27165	03/11/1993	Human	Homo sapiens; sex: F; age: 12Y	USA	genomic RNA	
229E/human/USA/933-50/1993	Human coronavirus 229E	KF514430	27169	03/18/1993	Human	Homo sapiens; sex: M; age: 4Y	USA	genomic RNA	
229E/UF-1/2016	Human coronavirus 229E	KY996417	27270	11/23/2016	Unknown	-N/A-	USA	genomic RNA	
HCoV-229E/BN1/GER/2015	Human coronavirus 229E	KU291448	27022	2015	Human	Homo sapiens	Germany	genomic RNA	
J0304	Human coronavirus 229E	JX503061	27208	2009	Human	Homo sapiens	Italy	genomic RNA	
N08-434B	Human coronavirus 229E	KY674919	27136	2016	Human	Homo sapiens	USA	genomic RNA	
SC0865	Human coronavirus 229E	MN306046	27270	2019	Human	Homo sapiens	USA	genomic RNA	
SC1073	Human coronavirus 229E	KY369913	27238	2016	Human	Homo sapiens	USA	genomic RNA	
SC1143	Human coronavirus 229E	KY369910	27182	2016	Human	Homo sapiens	USA	genomic RNA	
SC1212	Human coronavirus 229E	KY369911	27226	2016	Human	Homo sapiens	USA	genomic RNA	
SC2282	Human coronavirus 229E	KY684760	27249	2016	Human	Homo sapiens	USA	genomic RNA	
SC2872	Human coronavirus 229E	KY967357	27242	2015	Human	Homo sapiens	USA	genomic RNA	
SC3112	Human coronavirus 229E	KY983587	27235	2015	Human	Homo sapiens	USA	genomic RNA	
SC379	Human coronavirus 229E	KY621348	27144	2016	Human	Homo sapiens	USA	genomic RNA	
SC399	Human coronavirus 229E	KY674914	27055	2016	Human	Homo sapiens	USA	genomic RNA	
SC579	Human coronavirus 229E	KY369908	27193	2016	Human	Homo sapiens	USA	genomic RNA	
SC677	Human coronavirus 229E	KY369909	26592	2016	Human	Homo sapiens	USA	genomic RNA	
SC9724	Human coronavirus 229E	MN369046	27075	2018	Human	Homo sapiens	USA	genomic RNA	
SC9731	Human coronavirus 229E	KY369912	27208	2016	Human	Homo sapiens	USA	genomic RNA	
SC9773	Human coronavirus 229E	KY369914	27231	2016	Human	Homo sapiens	USA	genomic RNA	
